Time,X,Y,Z
0.011483,2.473149,-3.971973,-8.053484
0.021348,2.828102,-4.3588,-8.561672
0.035474,3.158364,-4.778997,-8.919318
0.041567,2.661101,-4.967847,-8.990099
0.0523,0.757493,-3.823078,-8.940119
0.062246,0.015862,-3.632732,-8.126959
0.072322,0.196182,-3.661913,-7.526142
0.082297,1.08551,-3.929025,-7.453266
0.092273,1.963016,-4.447388,-8.004701
0.102261,2.463721,-4.978022,-8.825342
0.112277,2.744601,-5.296762,-9.496341
0.122271,2.821667,-5.80899,-9.159345
0.132311,0.672046,-5.60323,-8.93548
0.141525,-0.396853,-4.689361,-8.088201
0.152328,-0.501454,-4.76119,-7.487385
0.162278,0.065095,-4.875966,-7.698082
0.172231,1.097032,-5.13425,-8.413076
0.182309,1.712364,-5.372631,-8.96885
0.192305,1.965261,-5.042069,-9.045018
0.202388,1.497627,-5.105668,-8.781497
0.212067,0.790414,-5.527362,-8.860808
0.222271,0.453717,-5.653959,-8.78015
0.231425,0.583458,-5.159689,-8.645921
0.24158,0.9848,-4.340992,-8.126211
0.252398,1.385993,-4.151544,-7.733398
0.262243,1.540724,-4.707318,-8.034629
0.272334,1.464855,-5.277009,-8.74678
0.282385,1.191607,-5.604727,-8.946553
0.291853,0.924344,-5.252019,-8.428639
0.30187,0.727714,-4.633694,-7.790113
0.315008,0.780238,-4.229808,-7.373955
0.321689,1.233357,-4.242078,-7.473318
0.332167,1.85662,-4.807729,-8.030289
0.341587,1.82295,-5.462566,-8.67121
0.352263,1.214652,-5.698104,-8.852428
0.362298,0.557121,-5.362904,-8.53309
0.372271,0.10909,-4.715997,-8.040764
0.382345,0.24302,-4.494526,-7.589142
0.392275,0.891124,-4.605711,-7.566396
0.402312,1.697699,-4.910384,-8.227818
0.412162,2.228782,-5.13425,-9.022123
0.422309,2.228782,-5.323249,-9.249431
0.432284,2.048612,-5.294966,-9.179847
0.441492,1.787335,-5.144425,-9.189274
0.451945,1.137735,-5.003162,-9.123132
0.462276,0.564752,-4.63938,-8.57484
0.471441,0.32697,-4.318995,-7.810314
0.482464,1.302791,-4.817306,-7.812709
0.492291,1.715656,-5.107613,-7.99647
0.502265,1.988455,-5.173007,-8.127408
0.512956,2.231625,-5.290477,-8.384494
0.522301,2.038885,-5.426353,-8.690813
0.532386,1.320449,-5.25576,-8.942662
0.541613,0.652294,-4.717344,-8.995038
0.552252,0.441596,-4.134036,-8.255652
0.561497,1.167514,-4.296548,-8.057824
0.571837,1.988755,-5.111653,-9.043372
0.582317,2.292231,-5.611012,-9.912798
0.59235,1.52965,-5.435032,-9.826005
0.602265,0.388623,-4.667364,-9.000724
0.612078,0.042798,-4.066846,-8.29007
0.622302,0.925991,-4.315403,-8.580227
0.631785,1.766685,-4.910384,-9.550363
0.641589,1.854824,-5.419619,-10.201908
0.652601,1.653555,-5.47334,-10.333594
0.661427,0.851169,-5.186475,-10.25548
0.672318,-0.49023,-4.735002,-9.836031
0.682263,-1.475031,-4.215591,-8.902708
0.692287,-1.331523,-3.911667,-8.291716
0.702306,-0.581961,-3.981849,-8.055729
0.712046,0.200671,-4.479711,-7.873763
0.722315,0.847278,-4.958718,-7.740281
0.732352,1.464855,-5.135147,-7.734296
0.741578,1.90271,-5.246931,-7.68641
0.752306,1.996686,-5.305142,-7.7952
0.762283,2.040382,-5.18857,-8.022209
0.772307,1.871435,-5.023364,-8.39901
0.78236,1.551199,-4.873571,-8.584567
0.792857,1.214652,-4.638033,-8.364891
0.80193,0.922399,-4.382443,-8.210759
0.812003,0.707063,-4.461305,-8.088949
0.822248,0.751507,-4.801893,-8.06351
0.832256,0.961456,-5.078882,-7.879599
0.841578,1.066805,-5.189168,-7.836951
0.852306,0.953974,-4.988198,-7.720229
0.86153,0.958164,-4.245819,-7.652142
0.872578,1.411881,-3.496856,-8.15599
0.88286,2.541985,-4.193594,-9.512503
0.902384,0.437855,-2.848304,-8.690664
0.912202,-0.186156,-1.718051,-8.469791
0.922303,-0.377848,-2.123882,-7.270851
0.933956,0.832613,-4.782289,-6.741265
0.941555,2.147376,-6.722111,-7.741179
0.952263,2.954401,-6.335284,-8.326582
0.961723,3.746012,-4.263477,-9.160692
0.972304,3.589635,-3.928427,-9.930605
0.981305,4.616485,-3.243062,-9.329938
0.992289,3.55402,-2.871798,-8.520969
1.003286,2.442472,-2.476142,-7.111332
1.013798,1.585617,-2.123733,-6.690686
1.022106,0.949634,-2.275171,-6.195218
1.032326,2.191371,-3.073516,-6.868312
1.041475,2.948565,-3.386121,-6.354887
1.052295,2.710034,-2.645388,-6.260762
1.062699,2.594958,-2.157702,-6.056349
1.07364,2.913548,-2.135405,-6.301165
1.082234,2.346102,-1.99474,-6.825664
1.092297,2.562935,-1.63874,-7.101456
1.101536,3.089528,-1.909145,-7.118066
1.112001,3.965239,-1.928898,-6.358927
1.122339,4.959018,-1.922164,-6.191627
1.132303,5.443711,-1.657894,-7.587646
1.163052,3.765765,-3.108084,-10.356489
1.172236,2.240604,-3.309653,-10.393301
1.182312,2.257962,-2.90457,-9.830045
1.19233,1.83986,-3.623305,-9.541833
1.202298,1.27002,-5.616249,-10.451812
1.216061,-3.54549,-5.58677,-8.920366
1.232089,-3.949526,-4.366731,-10.563445
1.241627,-3.426225,-4.210504,-11.02255
1.252291,-1.399311,-4.937469,-12.311275
1.262251,-1.963315,-3.013061,-12.137689
1.272303,-4.66467,-2.487664,-7.917608
1.298922,6.875944,-3.008123,-14.912369
1.312036,7.182562,-4.138525,-10.267302
1.322255,3.574521,-3.824724,-6.728246
1.332246,1.917974,-0.536769,-6.50034
