Time,X
0.017225,0.730778
0.027204,0.559355
0.037214,0.651631
0.057203,1.130339
0.077192,2.164265
0.097211,2.851353
0.1172,2.561294
0.137189,3.045906
0.157178,2.494987
0.177167,-1.967428
0.197187,-0.707344
0.217176,-0.68597
0.237165,-0.326115
0.257154,0.465757
0.277143,1.232301
0.297163,0.514012
0.317152,0.524602
0.337141,2.208721
0.35713,1.019165
0.377119,1.036828
0.397138,-0.076326
0.417127,-1.744576
0.437116,-1.926909
0.457105,-1.887032
0.477125,-1.056817
0.497114,-1.861119
0.517103,-2.886386
0.537092,-2.393233
0.557081,-1.760571
0.5771,-0.460955
0.597089,0.18249
0.617078,0.472945
0.637067,-0.090544
0.657056,-0.788119
0.677076,-0.810781
0.697065,-0.805736
0.717054,-0.991493
0.737043,-1.313233
0.757027,-0.677711
0.777047,0.111053
0.797036,0.421446
0.817025,0.253953
0.837014,-0.243252
0.857003,-0.690135
0.877022,-0.325637
0.897011,-0.025056
0.92701,-0.133786
0.936989,0.082037
0.957009,-0.046253
0.976998,0.02941
0.996987,0.269401
1.016976,0.390786
1.036965,0.408967
1.056984,0.374
1.076973,0.150342
1.096962,0.039535
1.116951,0.024531
1.13694,0.035118
1.15696,-0.003278
1.176949,-0.002194
1.196938,0.031871
1.216927,-0.010815
1.236916,-0.011973
1.256935,-0.015254
1.276924,0.014572
1.296913,0.013411
1.316902,0.013422
1.336922,0.014563
1.356911,0.015648
1.3769,-0.002415
1.396889,0.021071
1.416878,0.007257
1.436898,0.014722
1.456887,0.015805
1.476876,0.009347
1.496865,0.021126
1.516854,0.005102
1.536873,0.017858
1.556862,0.026406
1.576851,0.01356
1.59684,-0.024755
1.616829,0.000774
1.636849,0.001864
1.656838,-0.018456
1.676827,-0.034429
1.696816,-0.022741
1.716835,-0.023746
1.736824,-0.020478
1.756806,-0.028977
1.776795,-0.019331
1.796784,-0.006483
1.816804,-0.010785
1.836793,0.011627
1.856782,-0.008643
1.876771,-0.024526
1.89676,0.001002
1.91678,-0.019242
1.936769,-0.00436
1.956758,-0.026768
1.976747,-0.019275
